USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
chronos  19885  0.1  1.7 25630864 143260 ?     Sl   15:18   0:00  |   |       \_ /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=9850 --enable-cr
chronos  19903  0.0  1.6 25634412 132356 ?     Sl   15:18   0:00  |   |       \_ /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=9850 --enable-cr
chronos  22519  1.4  1.8 29824568 149516 ?     Sl   15:26   0:03  |   |       \_ /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=9850 --enable-cr
chronos   9887  0.0  1.0 17151172 85800 ?      Sl   14:54   0:01  |   \_ /opt/google/chrome/chrome --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --ser
chronos  13234  0.0  0.0   4832  3320 pts/4    Ss   14:58   0:00  |   \_ /usr/bin/crosh
chronos  13285  0.0  0.0   4832  1848 pts/4    S    14:58   0:00  |   |   \_ /usr/bin/crosh
chronos  13286  0.0  0.0   3648  3108 pts/4    S    14:58   0:00  |   |       \_ /bin/bash -l
chronos  23520  0.0  0.0   3728  2604 pts/4    R+   15:29   0:00  |   |           \_ ps -aux --forest
chronos  18076  0.0  0.0   4832  3512 pts/0    Ss+  15:11   0:00  |   \_ /usr/bin/crosh
chronos  19841  0.0  0.0  11940  6288 pts/5    Ss+  15:17   0:00  |   \_ /usr/bin/vsh --owner_id=56522cfaf14320d455f7fd3f5093b62f6bc9e197 --vm_name=termina --target_container=pengu
chronos   9850  0.0  0.0 16790592 3660 ?       Sl   14:54   0:00  \_ /opt/google/chrome/chrome_crashpad_handler --monitor-self --monitor-self-annotation=ptype=crashpad-handler --us
chronos   9852  0.0  0.0 16782380 3444 ?       S    14:54   0:00  \_ /opt/google/chrome/chrome_crashpad_handler --no-periodic-tasks --monitor-self-annotation=ptype=crashpad-handler
root      1625  0.0  0.0   2612  2024 ?        Ss   14:44   0:00 minijail0 -v -Kslave --profile minimalistic-mountns -l -p --uts -c 0 -n -u cdm-oemcrypto -g cdm-oemcrypto -G -b /sy
root      1627  0.0  0.0   2612   264 ?        S    14:44   0:00  \_ minijail0 -v -Kslave --profile minimalistic-mountns -l -p --uts -c 0 -n -u cdm-oemcrypto -g cdm-oemcrypto -G -b
cdm-oem+  1628  0.0  0.1  23792 16116 ?        S    14:44   0:00      \_ /usr/sbin/cdm-oemcrypto
trunks    1644  0.0  0.1  92332  8084 ?        Ssl  14:44   0:02 trunksd
root      1654  0.0  0.1  92104 14516 ?        Ssl  14:44   0:00 /usr/sbin/tpm_managerd --wait_for_ownership_trigger
chaps     1669  0.0  0.1 322808 14896 ?        SLsl 14:44   0:01 /usr/sbin/chapsd --auto_load_system_token
root      1678  0.0  0.0   2612   240 ?        S    14:44   0:00 minijail0 -i -n -N -p --uts -l --profile minimalistic-mountns -b /dev/log -k /run /run tmpfs MS_NODEV MS_NOEXEC MS_
bootloc+  1679  0.0  0.1  23920 13160 ?        S    14:44   0:00  \_ /usr/sbin/bootlockboxd
attesta+  1700  0.0  0.1 166984 11500 ?        SLsl 14:44   0:00 /usr/sbin/attestationd
root      1708  0.0  0.4 398284 36388 ?        SLsl 14:44   0:00 cryptohomed --noclose --direncryption --fscrypt_v2 --vmodule=
root      4983  0.0  0.1  22036 12016 ?        S    14:48   0:00  \_ /usr/sbin/cryptohome-namespace-mounter
root      1783  0.0  0.0   2612  1824 ?        Ss   14:44   0:00 minijail0 --uts -l -p -N -v -P /mnt/empty -b / -b /proc -t -r -b /dev  1 -b /sys  1 -k /var /var tmpfs -b /var/cach
root      1786  0.0  0.0   2612   212 ?        S    14:44   0:00  \_ minijail0 --uts -l -p -N -v -P /mnt/empty -b / -b /proc -t -r -b /dev  1 -b /sys  1 -k /var /var tmpfs -b /var/
fwupd     1787  0.0  0.2 397572 21088 ?        Sl   14:44   0:00      \_ /usr/libexec/fwupd/fwupd
root      2047  0.0  0.0   2472  1740 ?        Ss   14:44   0:00 minijail0 -u cras -g cras -G --uts -v -l -T static -P /mnt/empty -b / / -k tmpfs /run tmpfs MS_NODEV MS_NOEXEC MS_N
cras      2068  0.0  0.0   2564  1636 ?        S    14:44   0:00  \_ /sbin/minijail0 -n -S /usr/share/policy/cras-seccomp.policy -- /usr/bin/cras --dsp_config=/etc/cras/elemi/dsp.i
cras      2071  0.1  0.1  95884 15372 ?        Sl   14:44   0:02      \_ /usr/bin/cras --dsp_config=/etc/cras/elemi/dsp.ini --device_config_dir=/etc/cras/elemi
root      2053  0.0  0.0   2612  1768 ?        Ss   14:44   0:00 minijail0 -u secanomaly -g secanomaly -G -c 0 -n -- /usr/sbin/secanomalyd --generate_reports
secanom+  2060  0.0  0.1  14892  8752 ?        S    14:44   0:00  \_ /usr/sbin/secanomalyd --generate_reports
root      2055  0.0  0.0  11860  6276 ?        Ss   14:44   0:00 periodic_scheduler --period=3600 --timeout=14400 --start_immediately --task_name=crash_sender -- /sbin/crash_sender
root      2059  0.0  0.0  11860  6220 ?        Ss   14:44   0:00 periodic_scheduler --period=86400 --timeout=600 --task_name=apk-cache-cleaner-jailed -- /usr/sbin/apk-cache-cleaner
root      2064  0.1  0.1 1051672 10032 ?       Ssl  14:44   0:02 esif_ufd -n -a /etc/dptf/elemi/dptf.dv
root      2076  0.0  0.1  16308 12484 ?        Ss   14:44   0:00 /usr/bin/patchpaneld
patchpa+  2090  0.0  0.1  16112 10992 ?        Ss   14:44   0:00  \_ /usr/bin/patchpaneld --adb_proxy_fd=4
